filename,transcription
rec_006_001_FIL_001,anim
rec_006_001_FIL_002,pito
rec_006_001_FIL_003,walo
rec_006_001_FIL_004,siyam
rec_006_001_FIL_005,sampu
rec_006_001_FIL_006,labing isa
rec_006_001_FIL_007,labing dalawa
rec_006_002_FIL_001,babae
rec_006_002_FIL_002,lalaki
rec_006_003_FIL_001,oo
rec_006_003_FIL_002,hindi na
rec_006_003_FIL_003,hindi
rec_006_004_FIL_001,isa
rec_006_004_FIL_002,dalawa
rec_006_004_FIL_003,tatlo
rec_006_004_FIL_004,apat
rec_006_004_FIL_005,lima
rec_006_004_FIL_006,anim
rec_006_004_FIL_007,pito
rec_006_005_FIL_001,hindi ko alam
rec_006_005_FIL_002,hindi ko matandaan
rec_006_005_FIL_003,hindi pa nakakapagsukat
rec_006_006_FIL_001,nabawasan
rec_006_006_FIL_002,pareho lang
rec_006_006_FIL_003,pumayat
rec_006_006_FIL_004,hindi pa nakakapagtimbang
rec_006_006_FIL_005,nadagdagan
rec_006_006_FIL_006,tumaba
rec_006_006_FIL_007,nagkalaman
rec_006_007_FIL_001,hindi ko matandaan
rec_006_007_FIL_002,vitamins
rec_006_007_FIL_003,pedzinc
rec_006_007_FIL_004,gummies
rec_006_007_FIL_005,nakalimutan ko na
rec_006_007_FIL_006,ceelin plus growee
rec_006_007_FIL_007,ceelin
rec_006_007_FIL_008,vitamin c
rec_006_007_FIL_009,propan tlc
rec_006_007_FIL_010,ceelin chewables
rec_006_007_FIL_011,vitamin a
rec_006_007_FIL_012,nutriplex growee
rec_006_007_FIL_013,cherifer
rec_006_007_FIL_014,appetazon nova c
rec_006_007_FIL_015,fern c and pryze kids
rec_006_007_FIL_016,celermin tableta ceelin plus
rec_006_007_FIL_017,b complex lysine iron
rec_006_007_FIL_018,neurolem
rec_006_007_FIL_019,nutriplex
rec_006_007_FIL_020 cherifer immunomax
rec_006_007_FIL_021,alka c
rec_006_007_FIL_022,nutrilyn
rec_006_007_FIL_023,scotts
rec_006_008_FIL_001,hindi po
rec_006_008_FIL_002,araw araw
rec_006_008_FIL_003,oo
rec_006_008_FIL_004,gabi gabi
rec_006_009_FIL_001,pagkain
rec_006_009_FIL_002,gamot
rec_006_009_FIL_003,alikabok
rec_006_009_FIL_004,pollen
rec_006_009_FIL_005,buhok ng hayop
rec_006_009_FIL_006,wala po
rec_006_009_FIL_007,hindi ko alam
rec_006_010_FIL_001,patis
rec_006_010_FIL_002,bawang kapag hinihiwa
rec_006_010_FIL_003,dilis
rec_006_010_FIL_004,mani
rec_006_010_FIL_005,wala po
rec_006_010_FIL_006,hipon
rec_006_010_FIL_007,malalansa
rec_006_011_FIL_001,wala po
rec_006_011_FIL_002,hindi ko alam
rec_006_011_FIL_003,meron pero nakalimutan ko na
rec_006_011_FIL_004,biogesic
rec_006_012_FIL_001,pusa
rec_006_012_FIL_002,hamster
rec_006_012_FIL_003,aso
rec_006_012_FIL_004,manok
rec_006_012_FIL_005,hindi ko alam
rec_006_012_FIL_006,nakalimutan ko na
rec_006_013_FIL_001,hirap huminga
rec_006_013_FIL_002,pagpapantal
rec_006_013_FIL_003,pangangati
rec_006_013_FIL_004,pamamaga
rec_006_013_FIL_005,pamumula
rec_006_013_FIL_006,pagbaing
rec_006_013_FIL_007,pangangati ng ilong
rec_006_013_FIL_008,pagubo
rec_006_013_FIL_009,panghihina
rec_006_013_FIL_010,pagsakit ng ulo
rec_006_013_FIL_011,nasusuka at pagsusuka
rec_006_013_FIL_012,pagtatae
rec_006_013_FIL_013,hindi ko alam
rec_006_013_FIL_014,nakalimutan ko na
rec_006_014_FIL_001,ngayon
rec_006_014_FIL_002,kahapon
rec_006_014_FIL_003,nung isang araw
rec_006_014_FIL_004,nung isang linggo
rec_006_014_FIL_005,na nakalipas na taon
rec_006_014_FIL_006,nakalimutan ko na
rec_006_014_FIL_007,nung baby pa ako
rec_006_015_FIL_001,tatlumpu segundo
rec_006_015_FIL_002,tatlong minuto
rec_006_015_FIL_003,ilang minuto
rec_006_015_FIL_004,isang oras
rec_006_015_FIL_005,isang araw
rec_006_015_FIL_006,dalawang araw
rec_006_015_FIL_007,tatlong araw
rec_006_015_FIL_008,nakalimutan ko na
rec_006_015_FIL_009,hindi ko alam
rec_006_016_FIL_001,umiinom ng maraming tubig
rec_006_016_FIL_002,mag inhaler
rec_006_016_FIL_003,pinapabayaan lang
rec_006_016_FIL_004,wala
rec_006_016_FIL_005,hindi ko alam
rec_006_017_FIL_001,antihistamine
rec_006_017_FIL_002,wala
rec_006_017_FIL_003,hindi ko alam
rec_006_017_FIL_004,bronchodilator
rec_006_018_FIL_001,spray sa ilong
rec_006_018_FIL_002,pangpahid sa balat
rec_006_018_FIL_003,yelo
rec_006_018_FIL_004,wala
rec_006_018_FIL_005,hindi ko alam
rec_006_019_FIL_001,oo
rec_006_019_FIL_002,siguro
rec_006_019_FIL_003,hindi ko alam
rec_006_020_FIL_001,meron
rec_006_020_FIL_002,oo
rec_006_020_FIL_003,wala
rec_006_020_FIL_004,wala naman
rec_006_020_FIL_005,wala po
rec_006_021_FIL_001,ngayon lang
rec_006_021_FIL_002,kahapon
rec_006_021_FIL_003,nung isang araw
rec_006_021_FIL_004,nung isang linggo
rec_006_022_FIL_001,tatlong araw na
rec_006_022_FIL_002,dalawang araw na
rec_006_022_FIL_003,isang araw
rec_006_023_FIL_001,opo
rec_006_023_FIL_002,walang plema
rec_006_023_FIL_003,hindi ko alam
rec_006_024_FIL_001,dilaw
rec_006_024_FIL_002,puti
rec_006_024_FIL_003,berde
rec_006_025_FIL_001,may lagnat at sipon
rec_006_025_FIL_002,may lagnat
rec_006_025_FIL_003,may sipon
rec_006_025_FIL_004,walang lagnat
rec_006_025_FIL_005,walang sipon
rec_006_025_FIL_006,wala
rec_006_025_FIL_007,hindi ko alam
rec_006_026_FIL_001,umiinom ng maraming tubig
rec_006_026_FIL_002,pahinga
rec_006_026_FIL_003,inom ng gamot
rec_006_026_FIL_004,kain ng prutas
rec_006_026_FIL_005,wala
rec_006_026_FIL_006,pinapabayaan ko lang
rec_006_027_FIL_001,meron
rec_006_027_FIL_002,wala
rec_006_027_FIL_003,oo
rec_006_027_FIL_004,hindi ko alam
rec_006_028_FIL_001,la
rec_006_028_FIL_002,loviscol
rec_006_028_FIL_003,robitussin
rec_006_028_FIL_004,lagundi
rec_006_028_FIL_005,ambroxol
rec_006_029_FIL_001,ngayon
rec_006_029_FIL_002,kahapon
rec_006_029_FIL_003,nung isang araw
rec_006_029_FIL_004,nung isang linggo
rec_006_029_FIL_005,nakaraang taon
rec_006_029_FIL_006,hindi ko alam
rec_006_029_FIL_007,matagal na
rec_006_030_FIL_001,minsan lang
rec_006_030_FIL_002,ewan ko
rec_006_030_FIL_003,hindi ko alam
rec_006_031_FIL_001,umiinom ng bitamin c
rec_006_031_FIL_002,nagpapahinga at natutulog
rec_006_031_FIL_003,umiinom ng gamot
rec_006_031_FIL_004,sumisipsip ng menthol na kendi
rec_006_032_FIL_001,robitussin
rec_006_032_FIL_002,loviscol
rec_006_032_FIL_003,ambroxol
rec_006_032_FIL_004,nakalimutan ko na
rec_006_032_FIL_005,hindi ko alam
rec_006_033_FIL_001,sipon
rec_006_033_FIL_002,oo
rec_006_033_FIL_003,wala
